"","GENDER","RACE","AGE","CRF","BMI","Risk","Range_upper","Range_lower"
"1694","M","B",85,"6",30,43,NA,NA
"1695","M","B",85,"0",35,3.4,NA,NA
"1696","M","B",85,"1",35,5.1,3.6,6.9
"1697","M","B",85,"2",35,7.8,4.9,11
"1698","M","B",85,"3",35,12,7.2,17
"1699","M","B",85,"4",35,18,11,25
"1700","M","B",85,"5",35,26,17,33
"1701","M","B",85,"6",35,36,NA,NA
"1702","M","B",85,"0",40,2.8,NA,NA
"1703","M","B",85,"1",40,4.2,2.9,5.5
"1704","M","B",85,"2",40,6.3,3.9,8.9
"1705","M","B",85,"3",40,9.5,5.7,14
"1706","M","B",85,"4",40,14,8.9,20
"1707","M","B",85,"5",40,21,14,27
"1708","M","B",85,"6",40,30,NA,NA
"1709","M","B",85,"0",45,2.3,NA,NA
"1710","M","B",85,"1",45,3.4,2.4,4.4
"1711","M","B",85,"2",45,5.1,3.2,7.1
"1712","M","B",85,"3",45,7.6,4.6,11
"1713","M","B",85,"4",45,11,7.1,16
"1714","M","B",85,"5",45,17,11,22
"1715","M","B",85,"6",45,25,NA,NA
"1716","M","B",90,"0",15,5.9,NA,NA
"1717","M","B",90,"1",15,9.8,6.7,16
"1718","M","B",90,"2",15,16,9.6,25
"1719","M","B",90,"3",15,24,14,35
"1720","M","B",90,"4",15,34,20,45
"1721","M","B",90,"5",15,45,30,54
"1722","M","B",90,"6",15,57,NA,NA
"1723","M","B",90,"0",20,5.1,NA,NA
"1724","M","B",90,"1",20,8.4,5.8,13
"1725","M","B",90,"2",20,13,8.1,21
"1726","M","B",90,"3",20,20,12,30
"1727","M","B",90,"4",20,30,18,40
"1728","M","B",90,"5",20,41,27,50
"1729","M","B",90,"6",20,53,NA,NA
"1730","M","B",90,"0",25,4.6,NA,NA
"1731","M","B",90,"1",25,7.2,5.1,10
"1732","M","B",90,"2",25,11,7,17
"1733","M","B",90,"3",25,17,10,25
"1734","M","B",90,"4",25,26,16,35
"1735","M","B",90,"5",25,37,24,45
"1736","M","B",90,"6",25,49,NA,NA
"1737","M","B",90,"0",30,3.7,NA,NA
